# ----------------------------------------
# Reports snapshot
# Account: emojicircle.com
# Property: emojicircle
# ----------------------------------------
#  
# Start date: 20260201
# End date: 20260729
Nth day,Active users
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,6
0007,10
0008,6
0009,15
0010,5
0011,0
0012,2
0013,3
0014,11
0015,7
0016,4
0017,1
0018,2
0019,2
0020,1
0021,2
0022,1
0023,1
0024,0
0025,1
0026,2
0027,5
0028,7
0029,4
0030,7
0031,3
0032,14
0033,8
0034,3
0035,9
0036,11
0037,3
0038,2
0039,13
0040,5
0041,1
0042,0
0043,2
0044,16
0045,2
0046,7
0047,9
0048,6
0049,5
0050,4
0051,12
0052,3
0053,8
0054,12
0055,20
0056,3
0057,0
0058,3
0059,3
0060,2
0061,1
0062,0
0063,0
0064,1
0065,2
0066,2
0067,0
0068,0
0069,2
0070,1
0071,0
0072,0
0073,2
0074,1
0075,0
0076,1
0077,1
0078,1
0079,0
0080,1
0081,0
0082,1
0083,0
0084,2
0085,0
0086,2
0087,4
0088,1
0089,14
0090,13
0091,3
0092,5
0093,5
0094,26
0095,15
0096,2
0097,2
0098,5
0099,17
0100,9
0101,3
0102,3
0103,4
0104,3
0105,8
0106,5
0107,6
0108,4
0109,7
0110,6
0111,8
0112,14
0113,5
0114,12
0115,8
0116,5
0117,5
0118,8
0119,8
0120,8
0121,3
0122,4
0123,5
0124,5
0125,9
0126,8
0127,11
0128,9
0129,15
0130,9
0131,12
0132,7
0133,6
0134,6
0135,6
0136,6
0137,9
0138,8
0139,7
0140,3
0141,10
0142,12
0143,5
0144,6
0145,12
0146,5
0147,3
0148,6
0149,4
0150,7
0151,7
0152,9
0153,9
0154,13
0155,13
0156,9
0157,6
0158,20
0159,15
0160,11
0161,4
0162,279
0163,23
0164,25
0165,22
0166,14
0167,14
0168,8
0169,11
0170,12
0171,14
0172,9
0173,18
0174,11
0175,21
0176,17
0177,19
0178,11

# Start date: 20260201
# End date: 20260729
Nth day,New users
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,6
0007,9
0008,5
0009,13
0010,5
0011,0
0012,1
0013,2
0014,7
0015,4
0016,2
0017,1
0018,1
0019,2
0020,1
0021,0
0022,1
0023,0
0024,0
0025,1
0026,2
0027,3
0028,5
0029,3
0030,4
0031,1
0032,13
0033,6
0034,3
0035,4
0036,7
0037,1
0038,2
0039,13
0040,5
0041,1
0042,0
0043,1
0044,13
0045,0
0046,5
0047,6
0048,3
0049,1
0050,1
0051,9
0052,2
0053,5
0054,6
0055,12
0056,2
0057,0
0058,1
0059,1
0060,1
0061,0
0062,0
0063,0
0064,1
0065,2
0066,1
0067,0
0068,0
0069,2
0070,1
0071,0
0072,0
0073,1
0074,1
0075,0
0076,1
0077,1
0078,1
0079,0
0080,1
0081,0
0082,1
0083,0
0084,2
0085,0
0086,2
0087,4
0088,1
0089,14
0090,13
0091,3
0092,5
0093,5
0094,26
0095,14
0096,2
0097,2
0098,5
0099,17
0100,9
0101,3
0102,3
0103,4
0104,3
0105,8
0106,5
0107,6
0108,3
0109,7
0110,6
0111,7
0112,14
0113,4
0114,12
0115,8
0116,5
0117,4
0118,8
0119,7
0120,8
0121,3
0122,3
0123,4
0124,5
0125,9
0126,7
0127,9
0128,8
0129,15
0130,9
0131,12
0132,7
0133,5
0134,6
0135,6
0136,6
0137,9
0138,8
0139,7
0140,3
0141,9
0142,10
0143,4
0144,6
0145,12
0146,5
0147,3
0148,6
0149,4
0150,7
0151,6
0152,9
0153,9
0154,12
0155,12
0156,9
0157,6
0158,19
0159,14
0160,11
0161,4
0162,273
0163,19
0164,19
0165,16
0166,12
0167,14
0168,8
0169,8
0170,11
0171,14
0172,8
0173,17
0174,9
0175,18
0176,15
0177,18
0178,12

# Start date: 20260201
# End date: 20260729
Nth day,Average engagement time per active user
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,132.5
0007,254.2
0008,45.666666666666664
0009,11.666666666666666
0010,0
0011,0
0012,82.5
0013,164
0014,152
0015,22
0016,4
0017,0
0018,6
0019,13.5
0020,52
0021,30.5
0022,0
0023,874
0024,0
0025,133
0026,15
0027,400.6
0028,767.7142857142857
0029,150
0030,803.8571428571429
0031,2652.3333333333335
0032,361.14285714285717
0033,72.5
0034,42.333333333333336
0035,140
0036,299.09090909090907
0037,28
0038,0
0039,11.692307692307692
0040,0
0041,156
0042,0
0043,22.5
0044,245.375
0045,406
0046,1795.5714285714287
0047,813.3333333333334
0048,4576.166666666667
0049,2828.4
0050,883
0051,321.1666666666667
0052,26.666666666666668
0053,531.5
0054,563.3333333333334
0055,207.25
0056,38.666666666666664
0057,0
0058,8.666666666666666
0059,430.6666666666667
0060,119.5
0061,11
0062,0
0063,0
0064,0
0065,0
0066,117
0067,0
0068,0
0069,28
0070,0
0071,0
0072,0
0073,7.5
0074,6
0075,0
0076,2
0077,0
0078,0
0079,0
0080,0
0081,0
0082,302
0083,0
0084,0
0085,0
0086,779.5
0087,0.5
0088,41
0089,1.3571428571428572
0090,0
0091,0
0092,0
0093,0
0094,3.076923076923077
0095,0.8
0096,0
0097,8.5
0098,1.2
0099,3.4705882352941178
0100,0
0101,0.3333333333333333
0102,0.6666666666666666
0103,0
0104,0
0105,0
0106,0.2
0107,24.833333333333332
0108,32.75
0109,0
0110,6.166666666666667
0111,3.875
0112,0.2857142857142857
0113,19
0114,9.083333333333334
0115,3.625
0116,25.6
0117,34.4
0118,20.875
0119,1.75
0120,1.25
0121,4.666666666666667
0122,7.25
0123,7.8
0124,2
0125,2
0126,4
0127,106.81818181818181
0128,11.333333333333334
0129,12.4
0130,12.222222222222221
0131,9.75
0132,8.428571428571429
0133,87.5
0134,2.3333333333333335
0135,0.16666666666666666
0136,0
0137,8.222222222222221
0138,8.625
0139,0
0140,0
0141,0.6
0142,7.416666666666667
0143,3
0144,8.666666666666666
0145,12
0146,2.2
0147,0
0148,0
0149,2.25
0150,0.14285714285714285
0151,25.142857142857142
0152,1.5555555555555556
0153,19.444444444444443
0154,6.769230769230769
0155,20.923076923076923
0156,7.111111111111111
0157,0
0158,8.15
0159,2.3333333333333335
0160,10.090909090909092
0161,0
0162,341.73118279569894
0163,199.91304347826087
0164,398.36
0165,401.59090909090907
0166,69
0167,34.07142857142857
0168,48.25
0169,95.81818181818181
0170,9.666666666666666
0171,6.5
0172,18.444444444444443
0173,8.055555555555555
0174,106.9090909090909
0175,45.76190476190476
0176,18.11764705882353
0177,31.42105263157895
0178,12.909090909090908

# Start date: 20260201
# End date: 20260729
Nth day,Total revenue
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
0080,0
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
0100,0
0101,0
0102,0
0103,0
0104,0
0105,0
0106,0
0107,0
0108,0
0109,0
0110,0
0111,0
0112,0
0113,0
0114,0
0115,0
0116,0
0117,0
0118,0
0119,0
0120,0
0121,0
0122,0
0123,0
0124,0
0125,0
0126,0
0127,0
0128,0
0129,0
0130,0
0131,0
0132,0
0133,0
0134,0
0135,0
0136,0
0137,0
0138,0
0139,0
0140,0
0141,0
0142,0
0143,0
0144,0
0145,0
0146,0
0147,0
0148,0
0149,0
0150,0
0151,0
0152,0
0153,0
0154,0
0155,0
0156,0
0157,0
0158,0
0159,0
0160,0
0161,0
0162,0
0163,0
0164,0
0165,0
0166,0
0167,0
0168,0
0169,0
0170,0
0171,0
0172,0
0173,0
0174,0
0175,0
0176,0
0177,0
0178,0

# Where do your new users come from?
# Start date: 20260201
# End date: 20260729
First user primary channel group (Default Channel Group),New users
Direct,1095
Organic Search,147
Referral,15
Unassigned,11
Organic Social,6
AI Assistant,1

#  
# Start date: 20260201
# End date: 20260729
Session primary channel group (Default Channel Group),Sessions
Direct,1321
Organic Search,236
Unassigned,42
Referral,33
Organic Social,6
AI Assistant,1

#  
# Start date: 20260201
# End date: 20260729
Country ID,Active users
AE,2
AR,2
AU,6
AZ,1
BD,4
BG,1
BO,1
BR,9
CA,2
CI,1
CL,1
CN,451
DE,14
DZ,1
EC,1
EG,1
FI,1
FR,9
GB,17
HK,6
ID,5
IE,3
IL,1
IN,169
IQ,3
IR,1
IS,1
IT,2
JP,17
KE,1
KR,2
KZ,1
LB,1
LU,1
LV,1
MA,1
ML,1
MN,1
MX,3
MY,3
NL,1
NO,1
PH,4
PK,7
PL,11
PS,2
RO,1
SA,2
SE,2
SG,395
SO,1
SY,1
TR,2
TW,3
UA,2
US,94
UY,1
VN,11
ZA,3

# Start date: 20260201
# End date: 20260729
Country,Active users
CN,451
SG,395
IN,169
US,94
GB,17
JP,17
DE,14

# How are active users trending?
# Start date: 20260201
# End date: 20260729
Nth day,30 days,7 days,1 day
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,6,6,6
0007,14,14,10
0008,19,19,6
0009,32,32,15
0010,37,37,5
0011,37,37,0
0012,38,38,2
0013,40,37,3
0014,47,36,11
0015,51,35,7
0016,53,24,4
0017,54,20,1
0018,55,21,2
0019,57,22,2
0020,58,22,1
0021,58,15,2
0022,59,11,1
0023,59,9,1
0024,59,8,0
0025,60,8,1
0026,62,8,2
0027,64,10,5
0028,69,13,7
0029,72,15,4
0030,75,18,7
0031,75,19,3
0032,88,32,14
0033,95,37,8
0034,98,38,3
0035,102,37,9
0036,106,43,11
0037,100,40,3
0038,97,42,2
0039,97,44,13
0040,97,42,5
0041,98,40,1
0042,97,34,0
0043,97,26,2
0044,103,38,16
0045,99,37,2
0046,102,29,7
0047,107,30,9
0048,109,32,6
0049,108,33,5
0050,109,34,4
0051,117,28,12
0052,118,31,3
0053,123,32,8
0054,129,34,12
0055,141,45,20
0056,141,46,3
0057,139,45,0
0058,136,37,3
0059,135,36,3
0060,131,32,2
0061,131,25,1
0062,121,7,0
0063,114,5,0
0064,112,6,1
0065,109,7,2
0066,103,7,2
0067,101,5,0
